"","hostsp","decade","fishcount","avg.tp","sqn.tp","se.tp"
"1","hake",1930,10,2.62459615226316,9,0.874865384087719
"2","hake",1980,9,2.56714983169591,8,0.90762452715704
"3","hake",1990,9,2.67914594947368,8,0.947221134330657
"4","hake",2010,9,2.44600113001462,8,0.864791992911648
"5","herring",1930,5,2.87660838602632,4,1.43830419301316
"6","herring",1950,7,2.97838661009399,6,1.21592124191133
"7","herring",1960,4,2.90420985493421,3,1.67674634152943
"8","herring",1980,10,3.06726978332895,9,1.02242326110965
"9","herring",1990,10,3.17530007390789,9,1.0584333579693
"10","herring",2010,5,2.91607741797368,4,1.45803870898684
"11","pollock",1900,3,3.10576357175439,2,2.19610648234968
"12","pollock",1930,10,2.94442853810526,9,0.981476179368421
"13","pollock",1940,8,2.89856574764803,7,1.09555487529238
"14","pollock",1960,3,3.41720901925439,2,2.41633167024661
"15","pollock",1980,3,2.6740872772807,2,1.89086524724986
"16","pollock",1990,4,3.14767269256579,3,1.81730967637369
"17","pollock",2000,9,2.93223843964912,8,1.03670284236588
"18","pollock",2010,8,3.04698873689145,7,1.15165349220423
"19","sole",1930,5,2.77290359897368,4,1.38645179948684
"20","sole",1940,5,2.77965404047368,4,1.38982702023684
"21","sole",1950,5,2.48902191726316,4,1.24451095863158
"22","sole",1960,3,2.73392580657895,2,1.93317747709288
"23","sole",1970,5,2.69337257931579,4,1.34668628965789
"24","sole",1980,5,2.85314702536842,4,1.42657351268421
"25","sole",1990,5,2.92489751639474,4,1.46244875819737
"26","sole",2000,5,2.96512472592105,4,1.48256236296053
"27","sole",2010,4,2.70095798713816,3,1.55939882094409
"28","rock",1920,3,2.96049166600877,2,2.09338373268106
"29","rock",1940,6,3.23872413885965,5,1.44840146697193
"30","rock",1950,5,3.37052873455263,4,1.68526436727632
"31","rock",1970,5,3.33492482581579,4,1.66746241290789
"32","rock",1980,3,3.31836820394737,2,2.34644065948501
"33","rock",2000,4,3.53023675717105,3,2.03818314205582
