"","hostsp","decade","fishcount"
"1","hake",1930,10
"2","hake",1940,2
"3","hake",1950,1
"4","hake",1970,1
"5","hake",1980,10
"6","hake",1990,9
"7","hake",2010,9
"8","herring",1900,1
"9","herring",1920,1
"10","herring",1930,5
"11","herring",1940,1
"12","herring",1950,7
"13","herring",1960,4
"14","herring",1970,2
"15","herring",1980,12
"16","herring",1990,14
"17","herring",2010,5
"18","herring",NA,1
"19","pollock",1900,3
"20","pollock",1930,10
"21","pollock",1940,8
"22","pollock",1950,1
"23","pollock",1960,3
"24","pollock",1980,3
"25","pollock",1990,4
"26","pollock",2000,10
"27","pollock",2010,8
"28","sole",1930,5
"29","sole",1940,5
"30","sole",1950,5
"31","sole",1960,3
"32","sole",1970,5
"33","sole",1980,5
"34","sole",1990,5
"35","sole",2000,5
"36","sole",2010,4
"37","rock",1920,4
"38","rock",1930,2
"39","rock",1940,6
"40","rock",1950,5
"41","rock",1960,2
"42","rock",1970,5
"43","rock",1980,5
"44","rock",1990,1
"45","rock",2000,4
"46","rock",2010,2
