"","hostsp","decade","meantp","tpsd","avgglu","sdglu","avgphe","sdphe"
"1","hake",1930,2.62459615226316,0.337624754678495,21.922049287,1.41812650700392,6.1751185298,2.30616910277855
"2","hake",1940,2.33152451671053,0.118494549669943,22.56168956,1.52841297630673,9.042103233,2.4289715537983
"3","hake",1950,3.49857703842105,NA,27.98139559,NA,5.592210098,NA
"4","hake",1970,3.42077877671053,NA,24.14163629,NA,2.343717587,NA
"5","hake",1980,2.56714983169591,0.28337593768423,21.52510087,1.02063263062826,6.21335487133333,1.97239657672493
"6","hake",1990,2.67914594947368,0.3419056589645,22.5816739966667,1.59283249577552,6.42016478066667,2.2159828441218
"7","hake",2010,2.44600113001462,0.423410168444374,22.2378575677778,1.80739201030286,7.84824897966667,3.20968488899
"8","herring",1900,2.81714605407895,NA,24.35568699,NA,7.145376979,NA
"9","herring",1920,2.89147369,NA,24.40034553,NA,6.625145486,NA
"10","herring",1930,2.87660838602632,0.0718238579583763,23.518522854,0.82855623085951,5.8562991202,0.417706025627355
"11","herring",1940,2.83643760473684,NA,24.90701712,NA,7.550091324,NA
"12","herring",1950,2.97838661009399,0.18889587967374,24.05212611,1.06625737105679,5.61638787328571,1.41524352826498
"13","herring",1960,2.90420985493421,0.284864240637654,23.681974475,2.28571286260753,5.8099795775,0.986466878138742
"14","herring",1970,3.14207784111842,0.0463367638466563,26.0539882,0.345547852885798,6.3741966075,0.00661155234879053
"15","herring",1980,3.06726978332895,0.157037597030361,26.178098023,1.31735002386983,7.0668476697,1.50140141065875
"16","herring",1990,3.17530007390789,0.237350567342632,26.814735842,1.50399377141407,6.8824552803,0.800350918251319
"17","herring",2010,2.91607741797368,0.117677186994584,24.59897994,0.451313337891869,6.6367915634,0.772417211428753
"18","herring",NA,NA,NA,NA,NA,NA,NA
"19","pollock",1900,3.10576357175439,0.32470973033309,25.06561701,1.63402627483894,5.66181386466667,0.898995447341857
"20","pollock",1930,2.94442853810526,0.2745282774199,23.89250796,1.54073426854856,5.7148510704,1.12616955427765
"21","pollock",1940,2.89856574764803,0.183410471882527,23.935205375,1.59668043035219,6.106105692875,1.07447201818961
"22","pollock",1950,3.68042943657895,NA,30.84062655,NA,7.069362832,NA
"23","pollock",1960,3.41720901925439,0.229822207712716,26.8881735366667,1.28179735321016,5.11738499033333,0.825963354298292
"24","pollock",1980,2.6740872772807,0.335700960343089,23.65198941,1.79396611460779,7.52892610266667,0.767005653790063
"25","pollock",1990,3.14767269256579,0.370213430294276,25.809985915,2.73246736666761,6.0876734515,0.727967596387258
"26","pollock",2000,2.93223843964912,0.110010561467034,23.6792680844444,0.83800122504477,5.59425594311111,1.07105578790988
"27","pollock",2010,3.04698873689145,0.159412847716253,25.3361933925,2.00177567769822,6.379078992125,2.08110521221127
"28","sole",1930,2.77290359897368,0.0821368836989957,23.368051478,2.41393076345324,6.4939841258,2.46508615761362
"29","sole",1940,2.77965404047368,0.184255240219182,23.383191746,2.27215791284742,6.4578210384,2.18610149243111
"30","sole",1950,2.48902191726316,0.138054235423934,21.309851676,1.3688499275531,6.5932851048,0.833649224007894
"31","sole",1960,2.73392580657895,0.12538968349927,22.60106409,0.864033161317302,6.02322796,0.534525443547019
"32","sole",1970,2.69337257931579,0.113697789150157,21.059015962,0.524335398327103,4.7893843592,0.582490290471683
"33","sole",1980,2.85314702536842,0.144173216701686,23.061642884,1.77153385047041,5.5777254912,0.712161047800397
"34","sole",1990,2.92489751639474,0.193415332614816,23.165775112,0.635997351357211,5.1365539874,1.17814922621566
"35","sole",2000,2.96512472592105,0.164741385390331,22.365861118,1.36199666426245,4.030913201,0.844707836521341
"36","sole",2010,2.70095798713816,0.238226649388739,23.52254386,1.29627284168624,7.19526315775,1.4218085683616
"37","rock",1920,2.96049166600877,0.061866513870472,23.3048004525,0.245898122532571,5.02294919166667,0.445521245461509
"38","rock",1930,2.93830850921053,0.12492837713046,23.90771168,1.33644283316623,5.77656701,0.386987166974726
"39","rock",1940,3.23872413885965,0.201603992871701,25.8330139983333,0.590423378035563,5.418710543,1.25384262965778
"40","rock",1950,3.37052873455263,0.100070951982808,25.911893884,0.574937732799877,4.4958755014,0.584201296528759
"41","rock",1960,3.28706969046053,0.0656866350338901,26.163726845,0.452606739908448,5.3819971975,0.046611686349116
"42","rock",1970,3.33492482581579,0.111070013465516,26.419770998,1.22985456086312,5.2743423218,0.898738072066269
"43","rock",1980,3.31836820394737,0.295313417439293,27.67192663,0.2165718010452,6.65232828,2.02808414911387
"44","rock",1990,3.13841282368421,NA,26.99394277,NA,7.34200531,NA
"45","rock",2000,3.53023675717105,0.24674147475954,28.2856779475,1.07758016531909,5.655878593,0.937568142870339
"46","rock",2010,3.65987734717105,0.376210886332029,27.535009305,0.955011552663705,3.9199414665,1.90419118345971
